time,generation biomass,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore,total load actual,price day ahead,price actual,temp_Barcelona,temp_min_Barcelona,temp_max_Barcelona,pressure_Barcelona,humidity_Barcelona,wind_speed_Barcelona,wind_deg_Barcelona,rain_1h_Barcelona,rain_3h_Barcelona,snow_3h_Barcelona,clouds_all_Barcelona,temp_Bilbao,temp_min_Bilbao,temp_max_Bilbao,pressure_Bilbao,humidity_Bilbao,wind_speed_Bilbao,wind_deg_Bilbao,rain_1h_Bilbao,rain_3h_Bilbao,snow_3h_Bilbao,clouds_all_Bilbao,temp_Madrid,temp_min_Madrid,temp_max_Madrid,pressure_Madrid,humidity_Madrid,wind_speed_Madrid,wind_deg_Madrid,rain_1h_Madrid,rain_3h_Madrid,snow_3h_Madrid,clouds_all_Madrid,temp_Seville,temp_min_Seville,temp_max_Seville,pressure_Seville,humidity_Seville,wind_speed_Seville,wind_deg_Seville,rain_1h_Seville,rain_3h_Seville,snow_3h_Seville,clouds_all_Seville,temp_Valencia,temp_min_Valencia,temp_max_Valencia,pressure_Valencia,humidity_Valencia,wind_speed_Valencia,wind_deg_Valencia,rain_1h_Valencia,rain_3h_Valencia,snow_3h_Valencia,clouds_all_Valencia
2014-12-31 23:00:00+00:00,447,329,4844,4821,162,863,1051,1899,7096,43,73,49,196,6378,25385,50.1,65.41,281.625,281.625,281.625,1035,100,7,58,0,0,0,0,269.6573125,269.6573125,269.6573125,1036,97,0,226,0,0,0,0,267.325,267.325,267.325,971,63,1,309,0,0,0,0,273.375,273.375,273.375,1039,75,1,21,0,0,0,0,270.475,270.475,270.475,1001,77,1,62,0,0,0,0
2015-01-01 00:00:00+00:00,449,328,5196,4755,158,920,1009,1658,7096,43,71,50,195,5890,24382,48.1,64.92,281.625,281.625,281.625,1035,100,7,58,0,0,0,0,269.7635,269.7635,269.7635,1035,97,0,229,0,0,0,0,267.325,267.325,267.325,971,63,1,309,0,0,0,0,273.375,273.375,273.375,1039,75,1,21,0,0,0,0,270.475,270.475,270.475,1001,77,1,62,0,0,0,0
2015-01-01 01:00:00+00:00,448,323,4857,4581,157,1164,973,1371,7099,43,73,50,196,5461,22734,47.33,64.48,281.286,281.286,281.286,1036,100,7,48,0,0,0,0,269.2516875,269.2516875,269.2516875,1036,97,1,224,0,0,0,0,266.186,266.186,266.186,971,64,1,273,0,0,0,0,274.086,274.086,274.086,1039,71,3,27,0,0,0,0,269.686,269.686,269.686,1002,78,0,23,0,0,0,0
2015-01-01 02:00:00+00:00,438,254,4314,4131,160,1503,949,779,7098,43,75,50,191,5238,21286,42.27,59.32,281.286,281.286,281.286,1036,100,7,48,0,0,0,0,269.2033438,269.2033438,269.2033438,1035,97,1,225,0,0,0,0,266.186,266.186,266.186,971,64,1,273,0,0,0,0,274.086,274.086,274.086,1039,71,3,27,0,0,0,0,269.686,269.686,269.686,1002,78,0,23,0,0,0,0
2015-01-01 03:00:00+00:00,428,187,4130,3840,156,1826,953,720,7097,43,74,42,189,4935,20264,38.41,56.04,281.286,281.286,281.286,1036,100,7,48,0,0,0,0,269.4855,269.4855,269.4855,1035,97,1,221,0,0,0,0,266.186,266.186,266.186,971,64,1,273,0,0,0,0,274.086,274.086,274.086,1039,71,3,27,0,0,0,0,269.686,269.686,269.686,1002,78,0,23,0,0,0,0
2015-01-01 04:00:00+00:00,410,178,4038,3590,156,2109,952,743,7098,43,74,34,188,4618,19905,35.72,53.63,280.467,280.467,280.467,1037,100,5,32,0,0,0,0,269.327,269.327,269.327,1035,97,1,224,0,0,0,0,265.442,265.442,265.442,972,64,0,240,0,0,0,0,274.592,274.592,274.592,1039,81,4,57,0,0,0,0,270.292,270.292,270.292,1004,71,2,321,0,0,0,0
2015-01-01 05:00:00+00:00,401,172,4040,3368,158,2108,961,848,7098,43,74,34,186,4397,20010,35.13,51.73,280.467,280.467,280.467,1037,100,5,32,0,0,0,0,269.499,269.499,269.499,1035,97,1,222,0,0,0,0,265.442,265.442,265.442,972,64,0,240,0,0,0,0,274.592,274.592,274.592,1039,81,4,57,0,0,0,0,270.292,270.292,270.292,1004,71,2,321,0,0,0,0
2015-01-01 06:00:00+00:00,408,172,4030,3208,160,2031,983,1012,7099,43,72,35,189,3992,20377,36.22,51.43,280.467,280.467,280.467,1037,100,5,32,0,0,0,0,270.94,270.94,270.94,1036,95,1,222,0,0,0,0,265.442,265.442,265.442,972,64,0,240,0,0,0,0,274.592,274.592,274.592,1039,81,4,57,0,0,0,0,270.292,270.292,270.292,1004,71,2,321,0,0,0,0
2015-01-01 07:00:00+00:00,413,177,4052,3335,161,2119,1001,1015,7098,43,73,54,198,3629,20094,32.4,48.98,280.751,280.751,280.751,1038,100,2,353,0,0,0,0,270.689,270.689,270.689,1036,96,1,219,0,0,0,0,268.276,268.276,268.276,974,66,1,329,0,0,0,0,275.651,275.651,275.651,1041,73,2,32,0,0,0,0,274.601,274.601,274.601,1005,71,1,307,0,0,0,0
2015-01-01 08:00:00+00:00,419,177,4137,3437,163,2170,1041,1357,7097,43,74,743,198,3073,20637,36.6,54.2,280.751,280.751,280.751,1038,100,2,353,0,0,0,0,271.707,271.707,271.707,1036,95,1,218,0,0,0,0,268.276,268.276,268.276,974,66,1,329,0,0,0,0,275.651,275.651,275.651,1041,73,2,32,0,0,0,0,274.601,274.601,274.601,1005,71,1,307,0,0,0,0
2015-01-01 09:00:00+00:00,422,173,4059,3516,167,2020,1041,1817,7096,43,72,2019,204,2683,22250,43.1,58.94,280.751,280.751,280.751,1038,100,2,353,0,0,0,0,276.869,276.869,276.869,1036,71,1,212,0,0,0,0,268.276,268.276,268.276,974,66,1,329,0,0,0,0,275.651,275.651,275.651,1041,73,2,32,0,0,0,0,274.601,274.601,274.601,1005,71,1,307,0,0,0,0
2015-01-01 10:00:00+00:00,421,226,3931,3845,166,1183,1069,1516,7097,42,73,3197,206,2771,23547,45.14,59.86,283.249,283.249,283.249,1038,100,2,272,0,0,0,0,276.5056875,276.5056875,276.5056875,1036,78,1,213,0,0,0,0,281.574,281.574,281.574,974,61,1,344,0,0,0,0,285.074,285.074,285.074,1042,68,4,55,0,0,0,0,284.824,284.824,284.824,1006,55,1,255,0,0,0,0
2015-01-01 11:00:00+00:00,428,303,3784,4220,167,972,1052,1204,7097,41,75,3885,209,2906,24133,45.14,60.12,283.249,283.249,283.249,1038,100,2,272,0,0,0,0,280.2863438,280.2863438,280.2863438,1036,62,1,209,0,0,0,0,281.574,281.574,281.574,974,61,1,344,0,0,0,0,285.074,285.074,285.074,1042,68,4,55,0,0,0,0,284.824,284.824,284.824,1006,55,1,255,0,0,0,0
2015-01-01 12:00:00+00:00,425,288,3754,4404,167,922,1041,1286,7099,40,74,4007,210,2923,24713,47.35,62.05,283.249,283.249,283.249,1038,100,2,272,0,0,0,0,278.7895,278.7895,278.7895,1036,73,1,196,0,0,0,0,281.574,281.574,281.574,974,61,1,344,0,0,0,0,285.074,285.074,285.074,1042,68,4,55,0,0,0,0,284.824,284.824,284.824,1006,55,1,255,0,0,0,0
