time,generation biomass,generation fossil brown coal/lignite,generation fossil gas,generation fossil hard coal,generation fossil oil,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind onshore,total load actual,price day ahead,price actual,temp_Barcelona,temp_min_Barcelona,temp_max_Barcelona,pressure_Barcelona,humidity_Barcelona,wind_speed_Barcelona,wind_deg_Barcelona,rain_1h_Barcelona,rain_3h_Barcelona,snow_3h_Barcelona,clouds_all_Barcelona,temp_Bilbao,temp_min_Bilbao,temp_max_Bilbao,pressure_Bilbao,humidity_Bilbao,wind_speed_Bilbao,wind_deg_Bilbao,rain_1h_Bilbao,rain_3h_Bilbao,snow_3h_Bilbao,clouds_all_Bilbao,temp_Madrid,temp_min_Madrid,temp_max_Madrid,pressure_Madrid,humidity_Madrid,wind_speed_Madrid,wind_deg_Madrid,rain_1h_Madrid,rain_3h_Madrid,snow_3h_Madrid,clouds_all_Madrid,temp_Seville,temp_min_Seville,temp_max_Seville,pressure_Seville,humidity_Seville,wind_speed_Seville,wind_deg_Seville,rain_1h_Seville,rain_3h_Seville,snow_3h_Seville,clouds_all_Seville,temp_Valencia,temp_min_Valencia,temp_max_Valencia,pressure_Valencia,humidity_Valencia,wind_speed_Valencia,wind_deg_Valencia,rain_1h_Valencia,rain_3h_Valencia,snow_3h_Valencia,clouds_all_Valencia
2014-12-31 23:00:00+00:00,447.0,329.0,4844.0,4821.0,162.0,863.0,1051.0,1899.0,7096.0,43.0,73.0,49.0,196.0,6378.0,25385.0,50.1,65.41,281.625,281.625,281.625,1035.0,100.0,7.0,58.0,0.0,0.0,0.0,0.0,269.6573125,269.6573125,269.6573125,1036.0,97.0,0.0,226.0,0.0,0.0,0.0,0.0,267.325,267.325,267.325,971.0,63.0,1.0,309.0,0.0,0.0,0.0,0.0,273.375,273.375,273.375,1039.0,75.0,1.0,21.0,0.0,0.0,0.0,0.0,270.475,270.475,270.475,1001.0,77.0,1.0,62.0,0.0,0.0,0.0,0.0
2015-01-01 00:00:00+00:00,449.0,328.0,5196.0,4755.0,158.0,920.0,1009.0,1658.0,7096.0,43.0,71.0,50.0,195.0,5890.0,24382.0,48.1,64.92,281.625,281.625,281.625,1035.0,100.0,7.0,58.0,0.0,0.0,0.0,0.0,269.7635,269.7635,269.7635,1035.0,97.0,0.0,229.0,0.0,0.0,0.0,0.0,267.325,267.325,267.325,971.0,63.0,1.0,309.0,0.0,0.0,0.0,0.0,273.375,273.375,273.375,1039.0,75.0,1.0,21.0,0.0,0.0,0.0,0.0,270.475,270.475,270.475,1001.0,77.0,1.0,62.0,0.0,0.0,0.0,0.0
2015-01-01 01:00:00+00:00,448.0,323.0,4857.0,4581.0,157.0,1164.0,973.0,1371.0,7099.0,43.0,73.0,50.0,196.0,5461.0,22734.0,47.33,64.48,281.286,281.286,281.286,1036.0,100.0,7.0,48.0,0.0,0.0,0.0,0.0,269.2516875,269.2516875,269.2516875,1036.0,97.0,1.0,224.0,0.0,0.0,0.0,0.0,266.186,266.186,266.186,971.0,64.0,1.0,273.0,0.0,0.0,0.0,0.0,274.086,274.086,274.086,1039.0,71.0,3.0,27.0,0.0,0.0,0.0,0.0,269.686,269.686,269.686,1002.0,78.0,0.0,23.0,0.0,0.0,0.0,0.0
2015-01-01 02:00:00+00:00,438.0,254.0,4314.0,4131.0,160.0,1503.0,949.0,779.0,7098.0,43.0,75.0,50.0,191.0,5238.0,21286.0,42.27,59.32,281.286,281.286,281.286,1036.0,100.0,7.0,48.0,0.0,0.0,0.0,0.0,269.20334375,269.20334375,269.20334375,1035.0,97.0,1.0,225.0,0.0,0.0,0.0,0.0,266.186,266.186,266.186,971.0,64.0,1.0,273.0,0.0,0.0,0.0,0.0,274.086,274.086,274.086,1039.0,71.0,3.0,27.0,0.0,0.0,0.0,0.0,269.686,269.686,269.686,1002.0,78.0,0.0,23.0,0.0,0.0,0.0,0.0
2015-01-01 03:00:00+00:00,428.0,187.0,4130.0,3840.0,156.0,1826.0,953.0,720.0,7097.0,43.0,74.0,42.0,189.0,4935.0,20264.0,38.41,56.04,281.286,281.286,281.286,1036.0,100.0,7.0,48.0,0.0,0.0,0.0,0.0,269.4855,269.4855,269.4855,1035.0,97.0,1.0,221.0,0.0,0.0,0.0,0.0,266.186,266.186,266.186,971.0,64.0,1.0,273.0,0.0,0.0,0.0,0.0,274.086,274.086,274.086,1039.0,71.0,3.0,27.0,0.0,0.0,0.0,0.0,269.686,269.686,269.686,1002.0,78.0,0.0,23.0,0.0,0.0,0.0,0.0
2015-01-01 04:00:00+00:00,410.0,178.0,4038.0,3590.0,156.0,2109.0,952.0,743.0,7098.0,43.0,74.0,34.0,188.0,4618.0,19905.0,35.72,53.63,280.467,280.467,280.467,1037.0,100.0,5.0,32.0,0.0,0.0,0.0,0.0,269.327,269.327,269.327,1035.0,97.0,1.0,224.0,0.0,0.0,0.0,0.0,265.442,265.442,265.442,972.0,64.0,0.0,240.0,0.0,0.0,0.0,0.0,274.592,274.592,274.592,1039.0,81.0,4.0,57.0,0.0,0.0,0.0,0.0,270.29200000000003,270.29200000000003,270.29200000000003,1004.0,71.0,2.0,321.0,0.0,0.0,0.0,0.0
2015-01-01 05:00:00+00:00,401.0,172.0,4040.0,3368.0,158.0,2108.0,961.0,848.0,7098.0,43.0,74.0,34.0,186.0,4397.0,20010.0,35.13,51.73,280.467,280.467,280.467,1037.0,100.0,5.0,32.0,0.0,0.0,0.0,0.0,269.499,269.499,269.499,1035.0,97.0,1.0,222.0,0.0,0.0,0.0,0.0,265.442,265.442,265.442,972.0,64.0,0.0,240.0,0.0,0.0,0.0,0.0,274.592,274.592,274.592,1039.0,81.0,4.0,57.0,0.0,0.0,0.0,0.0,270.29200000000003,270.29200000000003,270.29200000000003,1004.0,71.0,2.0,321.0,0.0,0.0,0.0,0.0
2015-01-01 06:00:00+00:00,408.0,172.0,4030.0,3208.0,160.0,2031.0,983.0,1012.0,7099.0,43.0,72.0,35.0,189.0,3992.0,20377.0,36.22,51.43,280.467,280.467,280.467,1037.0,100.0,5.0,32.0,0.0,0.0,0.0,0.0,270.94,270.94,270.94,1036.0,95.0,1.0,222.0,0.0,0.0,0.0,0.0,265.442,265.442,265.442,972.0,64.0,0.0,240.0,0.0,0.0,0.0,0.0,274.592,274.592,274.592,1039.0,81.0,4.0,57.0,0.0,0.0,0.0,0.0,270.29200000000003,270.29200000000003,270.29200000000003,1004.0,71.0,2.0,321.0,0.0,0.0,0.0,0.0
2015-01-01 07:00:00+00:00,413.0,177.0,4052.0,3335.0,161.0,2119.0,1001.0,1015.0,7098.0,43.0,73.0,54.0,198.0,3629.0,20094.0,32.4,48.98,280.751,280.751,280.751,1038.0,100.0,2.0,353.0,0.0,0.0,0.0,0.0,270.689,270.689,270.689,1036.0,96.0,1.0,219.0,0.0,0.0,0.0,0.0,268.276,268.276,268.276,974.0,66.0,1.0,329.0,0.0,0.0,0.0,0.0,275.651,275.651,275.651,1041.0,73.0,2.0,32.0,0.0,0.0,0.0,0.0,274.601,274.601,274.601,1005.0,71.0,1.0,307.0,0.0,0.0,0.0,0.0
2015-01-01 08:00:00+00:00,419.0,177.0,4137.0,3437.0,163.0,2170.0,1041.0,1357.0,7097.0,43.0,74.0,743.0,198.0,3073.0,20637.0,36.6,54.2,280.751,280.751,280.751,1038.0,100.0,2.0,353.0,0.0,0.0,0.0,0.0,271.707,271.707,271.707,1036.0,95.0,1.0,218.0,0.0,0.0,0.0,0.0,268.276,268.276,268.276,974.0,66.0,1.0,329.0,0.0,0.0,0.0,0.0,275.651,275.651,275.651,1041.0,73.0,2.0,32.0,0.0,0.0,0.0,0.0,274.601,274.601,274.601,1005.0,71.0,1.0,307.0,0.0,0.0,0.0,0.0
